,home_team,away_team,home_score,away_score,date,home_point,away_point,Division
22,New York Rangers,New York Islanders,5,0,"Jan 17, 21",2,0,MassMutual East
32,Pittsburgh Penguins,Washington Capitals,4,3,"Jan 17, 21",2,1,MassMutual East
25,Ottawa Senators,Toronto Maple Leafs,2,3,"Jan 17, 21",0,2,Scotia North
35,Detroit Red Wings,Columbus Blue Jackets,2,3,"Jan 18, 21",0,2,Discover Central
31,Florida Panthers,Chicago Blackhawks,5,2,"Jan 18, 21",2,0,Discover Central
33,New York Islanders,Boston Bruins,1,0,"Jan 18, 21",2,0,MassMutual East
36,St. Louis Blues,San Jose Sharks,5,4,"Jan 19, 21",2,0,Honda West
37,Nashville Predators,Carolina Hurricanes,2,4,"Jan 19, 21",0,2,Discover Central
38,Toronto Maple Leafs,Winnipeg Jets,3,1,"Jan 19, 21",2,0,Scotia North
39,Calgary Flames,Vancouver Canucks,5,2,"Jan 19, 21",2,0,Scotia North
40,Edmonton Oilers,Montréal Canadiens,1,3,"Jan 19, 21",0,2,Scotia North
41,Vegas Golden Knights,Arizona Coyotes,4,2,"Jan 19, 21",2,0,Honda West
42,Anaheim Ducks,Minnesota Wild,1,0,"Jan 19, 21",2,0,Honda West
34,Philadelphia Flyers,Buffalo Sabres,1,6,"Jan 19, 21",0,2,MassMutual East
50,Los Angeles Kings,Colorado Avalanche,2,3,"Jan 20, 21",0,2,Honda West
49,Ottawa Senators,Winnipeg Jets,3,4,"Jan 20, 21",1,2,Scotia North
47,Detroit Red Wings,Columbus Blue Jackets,3,2,"Jan 20, 21",2,1,Discover Central
45,Florida Panthers,Chicago Blackhawks,5,4,"Jan 20, 21",2,1,Discover Central
44,Philadelphia Flyers,Buffalo Sabres,3,0,"Jan 20, 21",2,0,MassMutual East
43,New York Rangers,New Jersey Devils,3,4,"Jan 20, 21",0,2,MassMutual East
46,Pittsburgh Penguins,Washington Capitals,5,4,"Jan 20, 21",2,1,MassMutual East
51,St. Louis Blues,San Jose Sharks,1,2,"Jan 21, 21",1,2,Honda West
52,Toronto Maple Leafs,Edmonton Oilers,1,3,"Jan 21, 21",0,2,Scotia North
53,Vancouver Canucks,Montréal Canadiens,6,5,"Jan 21, 21",2,1,Scotia North
54,Vegas Golden Knights,Arizona Coyotes,5,2,"Jan 21, 21",2,0,Honda West
55,Anaheim Ducks,Minnesota Wild,2,3,"Jan 21, 21",0,2,Honda West
56,Boston Bruins,Philadelphia Flyers,5,4,"Jan 22, 21",2,1,MassMutual East
57,New York Islanders,New Jersey Devils,4,1,"Jan 22, 21",2,0,MassMutual East
59,Columbus Blue Jackets,Tampa Bay Lightning,2,3,"Jan 22, 21",1,2,Discover Central
61,Vancouver Canucks,Montréal Canadiens,3,7,"Jan 22, 21",0,2,Scotia North
62,Los Angeles Kings,Colorado Avalanche,4,2,"Jan 22, 21",2,0,Honda West
60,Ottawa Senators,Winnipeg Jets,1,4,"Jan 22, 21",0,2,Scotia North
68,Dallas Stars,Nashville Predators,7,0,"Jan 23, 21",2,0,Discover Central
63,Washington Capitals,Buffalo Sabres,4,3,"Jan 23, 21",2,1,MassMutual East
73,Columbus Blue Jackets,Tampa Bay Lightning,5,2,"Jan 23, 21",2,0,Discover Central
64,Pittsburgh Penguins,New York Rangers,4,3,"Jan 23, 21",2,1,MassMutual East
65,Chicago Blackhawks,Detroit Red Wings,4,1,"Jan 23, 21",2,0,Discover Central
66,Toronto Maple Leafs,Edmonton Oilers,4,2,"Jan 23, 21",2,0,Scotia North
70,Anaheim Ducks,Colorado Avalanche,2,3,"Jan 23, 21",1,2,Honda West
69,Arizona Coyotes,Vegas Golden Knights,5,2,"Jan 23, 21",2,0,Honda West
67,Minnesota Wild,San Jose Sharks,4,1,"Jan 23, 21",2,0,Honda West
80,Chicago Blackhawks,Detroit Red Wings,6,2,"Jan 24, 21",2,0,Discover Central
86,Arizona Coyotes,Vegas Golden Knights,0,1,"Jan 24, 21",0,2,Honda West
83,Calgary Flames,Toronto Maple Leafs,2,3,"Jan 24, 21",0,2,Scotia North
71,Boston Bruins,Philadelphia Flyers,6,1,"Jan 24, 21",2,0,MassMutual East
78,Washington Capitals,Buffalo Sabres,3,4,"Jan 24, 21",1,2,MassMutual East
74,St. Louis Blues,Los Angeles Kings,4,2,"Jan 24, 21",2,0,Honda West
75,Winnipeg Jets,Ottawa Senators,6,3,"Jan 24, 21",2,0,Scotia North
76,Vancouver Canucks,Montréal Canadiens,2,5,"Jan 24, 21",0,2,Scotia North
87,Anaheim Ducks,Colorado Avalanche,3,1,"Jan 25, 21",2,0,Honda West
85,Dallas Stars,Nashville Predators,3,2,"Jan 25, 21",2,0,Discover Central
84,Minnesota Wild,San Jose Sharks,3,5,"Jan 25, 21",0,2,Honda West
77,New Jersey Devils,New York Islanders,2,0,"Jan 25, 21",2,0,MassMutual East
82,Winnipeg Jets,Edmonton Oilers,3,4,"Jan 25, 21",0,2,Scotia North
81,St. Louis Blues,Los Angeles Kings,3,6,"Jan 25, 21",0,2,Honda West
79,Pittsburgh Penguins,New York Rangers,3,2,"Jan 25, 21",2,0,MassMutual East
88,Vancouver Canucks,Ottawa Senators,7,1,"Jan 26, 21",2,0,Scotia North
96,Winnipeg Jets,Edmonton Oilers,6,4,"Jan 27, 21",2,0,Scotia North
99,Dallas Stars,Detroit Red Wings,2,1,"Jan 27, 21",2,1,Discover Central
95,Nashville Predators,Chicago Blackhawks,3,2,"Jan 27, 21",2,1,Discover Central
100,Colorado Avalanche,San Jose Sharks,7,3,"Jan 27, 21",2,0,Honda West
94,Columbus Blue Jackets,Florida Panthers,3,4,"Jan 27, 21",1,2,Discover Central
92,Washington Capitals,New York Islanders,3,2,"Jan 27, 21",2,0,MassMutual East
91,New Jersey Devils,Philadelphia Flyers,3,5,"Jan 27, 21",0,2,MassMutual East
101,Arizona Coyotes,Anaheim Ducks,0,1,"Jan 27, 21",0,2,Honda West
90,Buffalo Sabres,New York Rangers,3,2,"Jan 27, 21",2,0,MassMutual East
102,Vegas Golden Knights,St. Louis Blues,4,5,"Jan 27, 21",1,2,Honda West
89,Boston Bruins,Pittsburgh Penguins,3,2,"Jan 27, 21",2,1,MassMutual East
97,Calgary Flames,Toronto Maple Leafs,3,4,"Jan 27, 21",0,2,Scotia North
98,Minnesota Wild,Los Angeles Kings,1,2,"Jan 27, 21",0,2,Honda West
103,Nashville Predators,Chicago Blackhawks,2,1,"Jan 28, 21",2,1,Discover Central
104,Vancouver Canucks,Ottawa Senators,5,1,"Jan 28, 21",2,0,Scotia North
111,Montréal Canadiens,Calgary Flames,4,2,"Jan 29, 21",2,0,Scotia North
117,Arizona Coyotes,Anaheim Ducks,3,2,"Jan 29, 21",2,0,Honda West
116,Colorado Avalanche,San Jose Sharks,3,0,"Jan 29, 21",2,0,Honda West
115,Dallas Stars,Detroit Red Wings,7,3,"Jan 29, 21",2,0,Discover Central
105,Boston Bruins,Pittsburgh Penguins,4,1,"Jan 29, 21",2,0,MassMutual East
106,Buffalo Sabres,New York Rangers,2,3,"Jan 29, 21",1,2,MassMutual East
114,Minnesota Wild,Los Angeles Kings,5,3,"Jan 29, 21",2,0,Honda West
107,New Jersey Devils,Philadelphia Flyers,1,3,"Jan 29, 21",0,2,MassMutual East
108,Washington Capitals,New York Islanders,6,3,"Jan 29, 21",2,0,MassMutual East
109,Carolina Hurricanes,Tampa Bay Lightning,1,0,"Jan 29, 21",2,1,Discover Central
110,Columbus Blue Jackets,Florida Panthers,3,2,"Jan 29, 21",2,1,Discover Central
113,Vancouver Canucks,Ottawa Senators,4,1,"Jan 29, 21",2,0,Scotia North
112,Edmonton Oilers,Toronto Maple Leafs,3,4,"Jan 29, 21",0,2,Scotia North
119,Buffalo Sabres,New Jersey Devils,4,3,"Jan 30, 21",2,1,MassMutual East
118,Chicago Blackhawks,Columbus Blue Jackets,1,2,"Jan 30, 21",0,2,Discover Central
129,Minnesota Wild,Colorado Avalanche,1,5,"Jan 31, 21",0,2,Honda West
130,Anaheim Ducks,St. Louis Blues,1,6,"Jan 31, 21",0,2,Honda West
128,Edmonton Oilers,Toronto Maple Leafs,4,3,"Jan 31, 21",2,1,Scotia North
131,Buffalo Sabres,New Jersey Devils,3,5,"Jan 31, 21",0,2,MassMutual East
133,Carolina Hurricanes,Dallas Stars,4,3,"Jan 31, 21",2,1,Discover Central
127,Winnipeg Jets,Vancouver Canucks,1,4,"Jan 31, 21",0,2,Scotia North
134,Detroit Red Wings,Florida Panthers,2,3,"Jan 31, 21",0,2,Discover Central
126,Montréal Canadiens,Calgary Flames,0,2,"Jan 31, 21",0,2,Scotia North
125,Detroit Red Wings,Florida Panthers,2,3,"Jan 31, 21",1,2,Discover Central
124,Tampa Bay Lightning,Nashville Predators,4,3,"Jan 31, 21",2,0,Discover Central
122,Washington Capitals,Boston Bruins,4,3,"Jan 31, 21",2,1,MassMutual East
121,Philadelphia Flyers,New York Islanders,3,2,"Jan 31, 21",2,1,MassMutual East
120,New York Rangers,Pittsburgh Penguins,4,5,"Jan 31, 21",1,2,MassMutual East
123,Carolina Hurricanes,Dallas Stars,4,1,"Jan 31, 21",2,0,Discover Central
