,home_team,away_team,home_score,away_score,date,home_point,away_point,Division
223,Vancouver Canucks,Calgary Flames,3,4,2021-02-16 03:08:26,1,2,Scotia North
226,San Jose Sharks,Anaheim Ducks,3,2,2021-02-16 03:37:56,2,0,Honda West
331,New York Rangers,New Jersey Devils,2,5,2021-02-17 00:08:06,0,2,MassMutual East
227,Buffalo Sabres,New York Islanders,0,3,2021-02-17 00:08:29,0,2,MassMutual East
230,Pittsburgh Penguins,Washington Capitals,1,3,2021-02-17 00:10:06,0,2,MassMutual East
231,Vegas Golden Knights,Colorado Avalanche,2,3,2021-02-17 03:07:46,0,2,Honda West
232,Los Angeles Kings,Minnesota Wild,4,0,2021-02-17 03:08:51,2,0,Honda West
58,Carolina Hurricanes,Florida Panthers,3,4,2021-02-17 22:07:48,1,2,Discover Central
234,Toronto Maple Leafs,Ottawa Senators,2,1,2021-02-18 00:11:34,2,0,Scotia North
233,Detroit Red Wings,Chicago Blackhawks,0,2,2021-02-18 00:39:58,0,2,Discover Central
235,Calgary Flames,Vancouver Canucks,1,5,2021-02-18 03:07:47,0,2,Scotia North
236,Edmonton Oilers,Winnipeg Jets,3,2,2021-02-18 03:15:18,2,0,Scotia North
242,Toronto Maple Leafs,Ottawa Senators,7,3,2021-02-19 00:07:21,2,0,Scotia North
240,Columbus Blue Jackets,Nashville Predators,3,0,2021-02-19 00:07:55,2,0,Discover Central
237,Boston Bruins,New Jersey Devils,2,3,2021-02-19 00:08:12,0,2,MassMutual East
238,Philadelphia Flyers,New York Rangers,2,3,2021-02-19 00:08:14,1,2,MassMutual East
239,Pittsburgh Penguins,New York Islanders,4,1,2021-02-19 00:08:28,2,0,MassMutual East
241,St. Louis Blues,San Jose Sharks,3,2,2021-02-19 01:08:00,2,1,Honda West
244,Arizona Coyotes,Los Angeles Kings,2,3,2021-02-19 02:07:29,1,2,Honda West
245,Anaheim Ducks,Minnesota Wild,1,3,2021-02-19 03:07:25,0,2,Honda West
246,Carolina Hurricanes,Chicago Blackhawks,5,3,2021-02-20 00:07:49,2,0,Discover Central
247,Detroit Red Wings,Florida Panthers,2,7,2021-02-20 00:08:01,0,2,Discover Central
248,Calgary Flames,Edmonton Oilers,1,2,2021-02-20 02:08:27,0,2,Scotia North
249,Vancouver Canucks,Winnipeg Jets,0,2,2021-02-20 03:08:08,0,2,Scotia North
251,Washington Capitals,New York Rangers,1,4,2021-02-20 17:38:00,0,2,MassMutual East
250,New Jersey Devils,Buffalo Sabres,2,3,2021-02-20 17:38:04,0,2,MassMutual East
